id,filename,url,title,date,agency,author,requester,request_type,topic,status,notes,needs_review
33,mopo-033.pdf,,"Commissioner Christopher Scott accepts Crusoe & GJ Call invite — May 11, 2026",11-May-26,Callaway County Commissioners,Christopher Scott,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Commissioner Christopher Scott accepts the ""Crusoe & GJ Call"" invite.",
34,mopo-034.pdf,,"Christopher Ward Scott accepts Crusoe & GJ Call invite — May 14, 2026 (verify identity)",14-May-26,Callaway County Commissioners,Christopher Ward Scott,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Christopher Ward Scott (email signature indicates Farmers Financial Solutions/insurance, not confirmed as Commissioner Christopher Scott) accepts the same call invite. NEEDS REVIEW: possible name confusion with Commissioner Christopher Scott, verify before treating as an official Commission communication.",
35,mopo-035.pdf,,"Meeting forwarded: Crusoe & GJ Call, forwarded by Christopher Scott — May 15, 2026",15-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Notification that the ""Crusoe & GJ Call"" meeting was forwarded by Christopher Scott.",
36,mopo-036.pdf,,"Crusoe & GJ Call canceled — May 15, 2026",15-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"The ""Crusoe & GJ Call"" meeting is canceled.",
37,mopo-037.pdf,,"Lucas Workman (Crusoe) follows up with Commissioner Jungermann re: Abilene Chamber — May 18, 2026",18-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Lucas Workman (Crusoe) follows up with Jungermann, referencing a phone call and the Abilene Chamber of Commerce. INCOMPLETE PRODUCTION: this document's printed page numbers read ""6"" and ""7,"" indicating approximately 5 preceding pages were not included in what MOPO received under this Sunshine request.",
38,mopo-038.pdf,,"Calendar invite: Crusoe & GJ Call, Google Meet — May 22, 2026",22-May-26,Callaway County Commissioners,Gary Jungermann,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Calendar record for a ""Crusoe & GJ Call"" via Google Meet, May 22, 2026.",
39,mopo-039.pdf,,"Crusoe & GJ Call meeting status update — May 22, 2026",22-May-26,Callaway County Commissioners,Gary Jungermann,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Duplicate calendar record, same ""Crusoe & GJ Call,"" Google Meet.",
40,mopo-040.pdf,,"Updated invitation: Crusoe & GJ Call — May 22, 2026",22-May-26,Callaway County Commissioners,Gary Jungermann,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Updated calendar invitation for the ""Crusoe & GJ Call,"" including Jungermann's county email.",
41,mopo-041.pdf,,"Crusoe & GJ Call, Google Meet — May 22, 2026",22-May-26,Callaway County Commissioners,Gary Jungermann,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Duplicate calendar record, same ""Crusoe & GJ Call,"" Google Meet.",
42,mopo-042.pdf,,"Sunshine Request Invoice: Hanna Rustemeyer — May 15, 2026",15-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Sunshine Request invoice billed to Hanna Rustemeyer, Callaway County, dated May 15, 2026, flat labor fee of $58.00. NOTABLE: this fee is dramatically lower than what Callaway County Commission charged Preserve Callaway County Missouri LLC and Callaway Data Watch for comparable Sunshine requests, raising a fee disparity/potential discriminatory pricing question in how the Commission processes public records requests depending on the requester.",
